Time,ID,Activity,GeneralisedActivity,OtherActivity,Accel.X_x_acf1,Accel.X_x_acf10,Accel.X_diff1_acf1,Accel.X_diff1_acf10,Accel.X_diff2_acf1,Accel.X_diff2_acf10,Accel.X_ARCH.LM,Accel.X_embed2_incircle_1,Accel.X_embed2_incircle_2,Accel.X_ac_9,Accel.X_firstmin_ac,Accel.X_trev_num,Accel.X_motiftwo_entro3,Accel.X_walker_propcross,Accel.X_crossing_points,Accel.X_histogram_mode_10,Accel.X_outlierinclude_mdrmd,Accel.X_entropy,Accel.X_firstzero_ac,Accel.X_flat_spots,Accel.X_arch_acf,Accel.X_garch_acf,Accel.X_arch_r2,Accel.X_garch_r2,Accel.X_alpha,Accel.X_beta,Accel.X_gamma,Accel.X_hurst,Accel.X_lumpiness,Accel.X_stability,Accel.X_max_level_shift,Accel.X_time_level_shift,Accel.X_max_var_shift,Accel.X_time_var_shift,Accel.X_max_kl_shift,Accel.X_time_kl_shift,Accel.X_nonlinearity,Accel.X_x_pacf5,Accel.X_diff1x_pacf5,Accel.X_diff2x_pacf5,Accel.X_localsimple_mean1,Accel.X_localsimple_lfitac,Accel.X_sampen_first,Accel.X_std1st_der,Accel.X_spreadrandomlocal_meantaul_50,Accel.X_spreadrandomlocal_meantaul_ac2,Accel.X_nperiods,Accel.X_seasonal_period,Accel.X_trend,Accel.X_spike,Accel.X_linearity,Accel.X_curvature,Accel.X_e_acf1,Accel.X_e_acf10,Accel.X_unitroot_kpss,Accel.X_zero_proportion,Accel.Y_x_acf1,Accel.Y_x_acf10,Accel.Y_diff1_acf1,Accel.Y_diff1_acf10,Accel.Y_diff2_acf1,Accel.Y_diff2_acf10,Accel.Y_ARCH.LM,Accel.Y_embed2_incircle_1,Accel.Y_embed2_incircle_2,Accel.Y_ac_9,Accel.Y_firstmin_ac,Accel.Y_trev_num,Accel.Y_motiftwo_entro3,Accel.Y_walker_propcross,Accel.Y_crossing_points,Accel.Y_histogram_mode_10,Accel.Y_outlierinclude_mdrmd,Accel.Y_entropy,Accel.Y_firstzero_ac,Accel.Y_flat_spots,Accel.Y_arch_acf,Accel.Y_garch_acf,Accel.Y_arch_r2,Accel.Y_garch_r2,Accel.Y_alpha,Accel.Y_beta,Accel.Y_gamma,Accel.Y_hurst,Accel.Y_lumpiness,Accel.Y_stability,Accel.Y_max_level_shift,Accel.Y_time_level_shift,Accel.Y_max_var_shift,Accel.Y_time_var_shift,Accel.Y_max_kl_shift,Accel.Y_time_kl_shift,Accel.Y_nonlinearity,Accel.Y_x_pacf5,Accel.Y_diff1x_pacf5,Accel.Y_diff2x_pacf5,Accel.Y_localsimple_mean1,Accel.Y_localsimple_lfitac,Accel.Y_sampen_first,Accel.Y_std1st_der,Accel.Y_spreadrandomlocal_meantaul_50,Accel.Y_spreadrandomlocal_meantaul_ac2,Accel.Y_nperiods,Accel.Y_seasonal_period,Accel.Y_trend,Accel.Y_spike,Accel.Y_linearity,Accel.Y_curvature,Accel.Y_e_acf1,Accel.Y_e_acf10,Accel.Y_unitroot_kpss,Accel.Y_zero_proportion,Accel.Z_x_acf1,Accel.Z_x_acf10,Accel.Z_diff1_acf1,Accel.Z_diff1_acf10,Accel.Z_diff2_acf1,Accel.Z_diff2_acf10,Accel.Z_ARCH.LM,Accel.Z_embed2_incircle_1,Accel.Z_embed2_incircle_2,Accel.Z_ac_9,Accel.Z_firstmin_ac,Accel.Z_trev_num,Accel.Z_motiftwo_entro3,Accel.Z_walker_propcross,Accel.Z_crossing_points,Accel.Z_histogram_mode_10,Accel.Z_outlierinclude_mdrmd,Accel.Z_entropy,Accel.Z_firstzero_ac,Accel.Z_flat_spots,Accel.Z_arch_acf,Accel.Z_garch_acf,Accel.Z_arch_r2,Accel.Z_garch_r2,Accel.Z_alpha,Accel.Z_beta,Accel.Z_gamma,Accel.Z_hurst,Accel.Z_lumpiness,Accel.Z_stability,Accel.Z_max_level_shift,Accel.Z_time_level_shift,Accel.Z_max_var_shift,Accel.Z_time_var_shift,Accel.Z_max_kl_shift,Accel.Z_time_kl_shift,Accel.Z_nonlinearity,Accel.Z_x_pacf5,Accel.Z_diff1x_pacf5,Accel.Z_diff2x_pacf5,Accel.Z_localsimple_mean1,Accel.Z_localsimple_lfitac,Accel.Z_sampen_first,Accel.Z_std1st_der,Accel.Z_spreadrandomlocal_meantaul_50,Accel.Z_spreadrandomlocal_meantaul_ac2,Accel.Z_nperiods,Accel.Z_seasonal_period,Accel.Z_trend,Accel.Z_spike,Accel.Z_linearity,Accel.Z_curvature,Accel.Z_e_acf1,Accel.Z_e_acf10,Accel.Z_unitroot_kpss,Accel.Z_zero_proportion,mean_Accelerometer.X,max_Accelerometer.X,min_Accelerometer.X,sd_Accelerometer.X,sk_Accelerometer.X,mean_mag_Accelerometer.X,max_mag_Accelerometer.X,total_power_Accelerometer.X,peak_freq_Accelerometer.X,mean_Accelerometer.Y,max_Accelerometer.Y,min_Accelerometer.Y,sd_Accelerometer.Y,sk_Accelerometer.Y,mean_mag_Accelerometer.Y,max_mag_Accelerometer.Y,total_power_Accelerometer.Y,peak_freq_Accelerometer.Y,mean_Accelerometer.Z,max_Accelerometer.Z,min_Accelerometer.Z,sd_Accelerometer.Z,sk_Accelerometer.Z,mean_mag_Accelerometer.Z,max_mag_Accelerometer.Z,total_power_Accelerometer.Z,peak_freq_Accelerometer.Z,SMA,minODBA,maxODBA,minVDBA,maxVDBA
2014-02-21T13:13:57Z,-_B!,Feed,Feed,Feed,0.152281509139061,,,,,,,0.625,1,0.00119393913081231,3,-0.024093,1.66746193342929,0.222222222222222,5,-0.5,0.5,0.0416145082079734,2,2,0.299079880869929,0.318672436656565,,,,,,0.500045830129239,0,0,0,,0,,,,1.80854189930164,0.374893434798342,0.45554449046209,0.397358976856223,1,1,0.980829253011726,0.493558507170123,,1.37,0,1,0.207165850376495,0.000381432701739561,0.0897686139490778,0.26359373337676,-0.0423856092683828,,0.119700545598423,0,-0.268820955772748,,,,,,,1,1,0.012667091024825,1,-0.003804,1.32088834314932,0.222222222222222,4,-0.35,0.6,1,1,5,0.0506413332772938,0.0563821239151442,,,,,,0.500045830129239,0,0,0,,0,,,,6.80568079273759,0.171316011406681,0.582775524478742,0.221179635664438,1,1,0.351397886837889,0.62269575235423,,0.57,0,1,0.0887278450904175,0.000964589544934123,0.274281215403075,0.07536692109414,-0.437986962358323,,0.236110477387015,0,-0.0199831941599706,,,,,,,0,0.777777777777778,0.0337954939341421,2,0.028841,1.38629436111989,0,4,0.75,0.2,1,1,5,0.0883872121176313,0.108358643446954,,,,,,0.500045830129239,0,0,0,,0,,,,1.83042160691891,0.167523529243009,0.359926942475459,1.17740166742171,1,1,0.287682072451781,0.484355241532493,,0.57,0,1,0.165192477242985,0.000681296724246561,0.124865019019116,-0.206574224087142,-0.15669495605278,,0.136060049658856,0,-0.555,0.2,-1.23,0.357716523396825,0.195393418465528,1.95158952941737,5.55,35.8527,0,-0.251,0.77,-0.56,0.371347396502101,1.98671001579891,1.43533030334164,2.51,11.9955,0,0.865,1.77,0.67,0.325243498525848,2.09103287549841,2.56908647929043,8.65,79.3015,0,1.865,1.5,3.23,0.898776946744853,2.16764849548999
2014-02-24T11:34:39Z,-_B!,Nest,Nest,Nest,0.240245515635748,,,,,,,1,1,0.152579501560929,5,-0.0374318888888889,1.38629436111989,0.222222222222222,2,-0.65,0.1,0.669358915267443,2,5,0.0425420064594877,0.219068496386499,,,,,,0.563305877070357,0,0,0,,0,,,,6.79356705493372,0.199571694286358,0.0398915241427991,0.0846282386176405,3,1,0.492476485097794,0.289947313221634,,1.45,0,1,0.598541546820002,3.61043090161515e-05,-0.0405917873996752,0.420813958060513,-0.0284118897613801,,0.144121852497207,0,-0.0258731103105486,,,,,,,0.888888888888889,1,-0.113117150205424,1,-0.312493666666667,1.66746193342929,0.333333333333333,3,0.1,-0.1,0.493770402555713,1,5,0.277035305412471,0.066834395744676,,,,,,0.500045830129239,0,0,0,,0,,,,1.2008256319394,0.0466652505824433,0.63342147601253,0.519237112139699,1,1,0.606135803570316,0.660832807902271,,0.63,0,1,0.340372785546221,0.000612485722706318,-0.787342794362654,-0.179136725458832,-0.349764860845207,,0.345941221722842,0,0.459424566580598,,,,,,,0.428571428571429,1,-0.130025820730358,5,-0.0161957777777778,1.07354284640852,0.222222222222222,1,0.725,0.7,0.888621318602953,3,5,0.0566638355568299,0.0691550492801504,,,,,,0.822181505046492,0,0,0,,0,,,,0.203989103533465,0.292693179365716,0.497231251055143,0.674912167686585,1,1,0.318453731118535,0.196941897805193,,1,0,1,0.679258836192681,9.77534550882174e-06,-0.473398730257935,-0.124126694284615,-0.17560560752201,,0.374433196977051,0,-0.448,0.2,-0.67,0.289819867427262,0.968173754603629,1.58991029212586,4.48,23.7924,0,-0.043,0.77,-0.98,0.487010152757506,-0.301128626006227,1.1890322092659,1.6453527045014,8.0019,0.2,0.615,0.84,0.2,0.212563715937912,-0.810258929084466,1.70648825104903,6.15,39.6313,0,1.482,0.99,1.81,0.576974869470066,1.15693560754262
2014-03-19T10:53:17Z,-_B!,SlowMove,SlowMove,SlowMove,-0.0549620680634498,,,,,,,1,1,0.107258198768104,2,-0.0328688888888889,1.55958115625988,0.222222222222222,4,-0.25,0.8,0.344959916271092,1,3,0.766559381572959,0.095844715675643,,,,,,0.500045830129239,0,0,0,,0,,,,0.408379821422716,0.259229713289328,0.26482598997895,0.273855016232545,2,2,0.382992252256106,0.300393260761807,,0.52,0,1,0.0979111007252682,4.728492461676e-05,0.113564097787436,-0.0778181831543528,-0.133502514654942,,0.170902054482049,0,0.44824820599409,,,,,,,1,1,0.0284930350358801,4,-0.00485166666666667,1.49417513828931,0.222222222222222,2,-0.175,0.6,0.405522705864419,3,2,0.108547100981061,0.0989449922253322,,,,,,0.747736811429691,0,0,0,,0,,,,4.42052799644507,0.271987646172061,0.265538573268537,0.183550163403338,1,2,0.382992252256106,0.27267196408872,,1.4,0,1,0.453656425004694,2.93728500986047e-05,0.52208161795486,0.0371833605568854,-0.111738499327972,,0.328648174827724,0,0.506277040223491,,,,,,,0.571428571428571,1,-0.0240895943039383,6,0.0936671111111111,1.2130075659799,0.222222222222222,3,0.75,-0.3,0.764626745318531,3,6,0.312273081827814,0.346852643645267,,,,,,0.781847541739982,0,0,0,,0,,,,4.46168199053628,0.40358474423496,0.36840637648228,0.663126361206559,1,1,0.182321556793955,0.424336082735267,,2,0,1,0.490334291947885,0.0001990873150018,0.776636354376612,0.0157540278639904,0.154240274234664,,0.31189673259943,0,-0.151,0.19,-0.53,0.216150667616621,0.204444897528438,0.848880942081061,1.51,4.3065,0,-0.115,0.34,-0.36,0.256525935444266,0.886449214659458,0.841531335474775,1.27405490413656,4.2693,0.1,0.492,0.84,-0.25,0.42399685533425,-0.887520733736765,2.01817035260237,4.92,32.2944,0,1.07,0.55,1.56,0.332716095192283,1.01123686641657
2014-03-19T15:11:47Z,-_B!,StatMove,StatMove,StatMove,0.134573025934444,,,,,,,1,1,0.168543968886146,6,-0.0397256666666667,1.38629436111989,0.222222222222222,2,-0.55,0.1,1,3,5,0.0558918154392651,0.207035292437368,,,,,,0.500045830129239,0,0,0,,0,,,,12.0203366142874,0.148273520641737,0.0242550146820054,0.105812463281868,3,2,0.182321556793955,0.268421310629391,,1.33,0,1,0.52752120041054,3.26113613395617e-05,0.0163377120705349,0.329244883380328,-0.164355322735783,,0.144647912528781,0,0.676862332192683,,,,,,,0.571428571428571,0.857142857142857,-0.00501886461349477,5,0.142640111111111,1.2130075659799,0.222222222222222,2,-0.5,0.2,0.706825796389687,3,3,0.211001158799525,0.196961637877205,,,,,,0.912915646256405,0,0,0,,0,,,,5.75662038473085,0.662807685767572,0.313139009510149,0.497012031948686,2,2,0.693147180559945,0.474116136733513,,2.09,0,1,0.850154691553144,0.000190891161623079,1.61665888871114,0.881178359060135,0.260665874552994,,0.322301911800396,0,0.725803928799647,,,,,,,0.714285714285714,1,-0.0304305529504147,6,-0.0318648888888889,1.2130075659799,0.111111111111111,3,0.7,0.1,0.545850564042528,3,3,0.0980652437025935,0.135557765843714,,,,,,0.901542081336429,0,0,0,,0,,,,3.64217153561259,0.917332016684269,0.302312667891679,0.0491244957117864,2,2,0.470003629245736,0.418721599368575,,2,0,1,0.707202758336337,0.000181167731055067,-1.44773098016416,-0.155744916198403,0.0799118054482589,,0.358384964064187,0,-0.363,0.19,-0.59,0.243769016352229,1.02572826260178,1.31305168255002,3.63,15.7209,0,0.362,1.61,-0.44,0.779640942998763,0.402458078029633,2.36910359468578,4.80424909474177,40.342,0.1,0.289,0.86,-0.63,0.591184310421791,-0.548787179835956,1.7639612281641,3.57145586394707,24.0735,0.1,1.64,1.29,2.13,0.791770168672703,1.62486922550709
2014-02-24T11:34:28Z,-_B!,notMoving,notMoving,notMoving,0.570157266328076,,,,,,,1,1,,3,-0.00383542857142857,1.242453324894,0,1,-0.475,-0.125,0.765206299401494,3,3,0.0754485836432148,0.0760110995836356,,,,,,0.825359086530034,0,0,,,,,,,3.40697924654261,0.67818899411931,0.218408777669708,0.404957686308943,1,1,0.31015492830384,0.120059509053993,,2,0,1,0.704503475006682,8.73807913367159e-07,-0.283910448762751,0.0739498804693324,0.0241463978174852,,0.305758711507294,0,0.593609051953333,,,,,,,0.4,0.6,,5,-1.43405614285714,1.242453324894,0.142857142857143,1,-0.5,0.125,0.642581496839657,3,5,0.0727462261455587,0.0720171482432824,,,,,,0.846701270736579,0,0,,,,,,,4.00591556177785,0.619766146075816,0.301138255015889,0.353236645726678,1,1,0.154150679827258,0.84684568786032,,2,0,1,0.744953063713991,0.00249969669859291,-2.32473427052888,0.401497316601363,-0.0447861749546143,,0.331039140128798,0,0.40882050772188,,,,,,,1,1,,5,0.0798814285714286,1.242453324894,0.142857142857143,1,0.65,0.125,0.456848907655193,3,5,0.041419818920199,0.369982969382557,,,,,,0.842866317514412,0,0,,,,,,,0.219277189934463,0.302646379141958,0.495274100934279,0.658646993642965,1,1,0.154150679827258,0.310736452411272,,3,0,1,0.881179744150593,2.63658093319406e-05,1.11283575992661,-0.254831982462395,-0.32027404591616,,0.373126018204856,0,-0.37875,-0.2,-0.5,0.141566491192554,0.38079252220066,1.00996584888982,3.03,9.7056,0,0.2125,1.61,-0.56,1.06856044684961,0.446064219823988,2.39721789892036,5.00469599950991,33.2048,0.125,0.37875,0.75,-0.63,0.492412066116523,-0.948063491510938,1.75647564889358,3.03,15.138,0,1.825,1.71,2.13,0.994032192637643,1.62486922550709
2014-09-11T16:11:22Z,-_Y!,CCONE,CCONE,CCONE,0.453978605159177,,,,,,,0.285714285714286,0.857142857142857,-0.01776157280992,3,0.00331011111111111,1.25548232517875,0,1,-0.925,0.1,0.358439053972688,3,2,0.532789532269478,0.441072477009448,,,,,,0.780020706591966,0,0,0,,0,,,,1.53734951152748,0.365559104704001,0.518488349477641,0.577859193010612,2,2,0.200670695462151,0.174722001413038,,1.63,0,1,0.526911011981038,2.06400985913644e-06,0.350206822334913,-0.125923051328403,0.233512997850626,,0.312400862257772,0,0.493715124409798,,,,,,,0.6,1,-0.199327065534955,2,-0.153838111111111,1.49417513828931,0.111111111111111,1,-0.9,0.8,0.786833134813438,5,4,0.0694635546757994,0.0673232703409569,,,,,,0.877454932795759,0,0,0,,0,,,,1.42950597522677,0.463250569639514,0.358916237436151,0.730423919286392,1,1,0.762140052046897,0.408965497050519,,,0,1,0.811858517633703,8.36615222953926e-05,-1.47703049614346,-0.255126223134475,-0.184596666248166,,0.442006917793164,0,0.351788339049486,,,,,,,0.125,0.625,0.102829495345419,2,0.145122222222222,1.07354284640852,0,4,0.65,0.7,0.451347319652584,2,3,0.662441288798244,0.279955282312113,,,,,,0.668518631254852,0,0,0,,0,,,,4.35639590670254,0.314572326037734,0.05562608451037,0.529396827028066,1,1,0.53062825106217,0.433477540107648,,1.52,0,1,0.610134508380471,8.98299977342622e-05,0.550408511207084,0.581075691902173,0.0327572246289906,,0.213577276420224,0,-0.769,-0.5,-1.06,0.185977895938678,0.106475768983921,1.9681885773553,7.69,60.6001,0,0.046,0.63,-0.94,0.566552929762279,-0.843045620739595,1.4830102070723,2.52729954808374,14.3196,0.1,1.02,1.75,0.63,0.425936875865688,0.797262591531776,3.02393677459614,10.2,112.0472,0,2.249,1.26,3.44,0.814739222082747,2.12334641544897
2014-09-11T16:14:12Z,-_Y!,Feed,Feed,Feed,0.0607475426797724,,,,,,,0.5,1,-0.027024055871702,2,0.0488662222222222,1.73286795139986,0.111111111111111,3,-0.75,0.7,0.744406821658334,2,3,0.623069441900346,0.152707697916111,,,,,,0.500045830129239,0,0,0,,0,,,,1.81516683382523,0.338327460001292,0.330712852308931,0.262450918812336,2,2,0.382992252256106,0.350051583500362,,1.42,0,1,0.0648130576081392,0.000108869424750555,-0.110035155225724,-0.112566445681629,-0.0716339587794777,,0.11619911851226,0,0.351881072393893,,,,,,,0.75,1,-0.290970852509314,3,0.288688888888889,0.735621939758795,0.111111111111111,5,0.1,-0.6,0.783464843281655,2,3,0.40389314585148,0.200777706425426,,,,,,0.796409891154991,0,0,0,,0,,,,1.22737768813264,0.181553426504867,0.158108340391443,0.171131084967706,1,1,0.382992252256106,0.497889992312001,,1.42,0,1,0.695815455913507,0.000114445616925643,1.47668966925103,-0.37914113467151,0.0908641992319896,,0.383977822007393,0,0.530633370684595,,,,,,,0.125,0.5,-0.218696974547783,3,-0.0574906666666667,1.73286795139986,0.111111111111111,3,0.1,0.1,0.653508636067887,2,2,0.122329336713138,0.17369503956051,,,,,,0.87457103970821,0,0,0,,0,,,,2.1617682265458,0.680079461371763,0.72521974780563,0.742963381551296,2,2,1.94591014905531,0.388973006775534,,1.5,0,1,0.731224966650659,0.000127888698615108,-1.55630035910732,0.0376007736864311,0.351566289093897,,0.401871878023904,0,-0.708,-0.31,-1.13,0.262161951642279,-0.380358868854486,2.10082964057214,7.08,53.1224,0,0.125,1.06,-0.94,0.616644143732834,-0.649312056859537,1.85773076956541,2.63508269773027,18.2953,0.2,0.958,1.75,0.13,0.577211688493341,-0.0167907550502542,3.2118613306747,9.58,106.6124,0,2.167,1.5,3.44,0.916787870774914,2.12334641544897
2014-09-11T16:11:21Z,-_Y!,SlowMove,SlowMove,SlowMove,-0.334653072033899,,,,,,,0.666666666666667,1,-0.277999205508475,1,0.0812131111111111,1.38629436111989,0.111111111111111,3,-0.65,0.6,0.304499790854373,1,5,0.568529424209692,0.425085882375024,,,,,,0.500045830129239,0,0,0,,0,,,,2.76627865373193,0.32428655485557,0.0992901247429476,0.074644705253424,1,1,0.362905493689369,0.387538528550531,,0.38,0,1,0.0590047304673989,7.3606797848524e-05,0.0808893806292124,0.000938775930332557,-0.310228868478338,,0.139035755892105,0,0.164152871449009,,,,,,,0.5,0.5,0.00729613733905579,2,-1.82404411111111,1.38629436111989,0.222222222222222,6,0.25,-0.3,0.0663943470140409,2,5,0.429634219205454,0.577395530701194,,,,,,0.500045830129239,0,0,0,,0,,,,10.5103440755196,0.326507992960194,0.397213141631884,0.604089166375193,1,1,0.470003629245736,1.42292050999969,,1.32,0,1,0.203666324954016,0.0181556706316998,0.506751601812362,0.461828021250467,0.0237770743756656,,0.16115032464511,0,0.0959284476524445,,,,,,,0.125,0.5,0.0563863608454202,2,0.279216222222222,1.55958115625988,0,4,0.1,-0.3,0.80602993502333,2,2,0.225645682970339,0.0674507563900142,,,,,,0.500045830129239,0,0,0,,0,,,,0.665596304766335,0.518177592588141,0.407178993663935,0.751369360903628,1,1,Inf,0.865844160984592,,1.36,0,1,0.17758892823399,0.00193436856997552,0.175304926755173,-0.442180995104425,0.0414662907154971,,0.129177315245849,0,-0.708,-0.31,-1.13,0.259092433098477,0.149448496481385,1.94628987624512,7.08,52.4272,0,-0.15,1.06,-2.06,1.04275276711852,-1.03587885515448,3.02424104142915,3.88222795304201,50.9878,0.1,0.915,1.94,0.13,0.638091773267068,0.452724839492352,3.41178848203694,9.15,102.0363,0,2.297,1,4.69,0.704698517097915,2.91261051292479
2014-09-11T16:11:42Z,-_Y!,notMoving,notMoving,notMoving,0.229576758150874,,,,,,,0.25,1,,3,-0.0161318,1.38629436111989,0,2,-1.15,0.166666666666667,0.453361224027229,2,2,0.244628478073168,0.361986559785984,,,,,,0.500077322175218,0,0,,,,,,,9.49816577266684,0.314612942030441,,,1,1,1.38629436111989,0.469755255425631,,1,0,1,0.317420361703629,0.000332007303472669,-0.474696994483248,-0.0536161356309835,-0.108127888652729,,0.217525722804702,0,0.034567426018593,,,,,,,1,1,,2,-0.003125,1.38629436111989,0.2,3,0.075,0.333333333333333,0.851251826053711,2,2,0.504510920453617,0.323298832049417,,,,,,0.500045830129239,0,0,,,,,,,1.80913217359764,0.498328356375597,,,1,1,1.38629436111989,0.459292934846597,,2,0,1,0.0939475662245863,0.000200176459965309,-0.133267989940785,-0.0223891555382127,0.0113381732146233,,0.134107338485851,0,0.364593583940169,,,,,,,0.25,0.5,,3,6.3814864,1.03972077083992,0.4,2,0.25,0.5,0.829847341145663,2,2,0.588825930776486,0.27455865512598,,,,,,0.586466764463019,0,0,,,,,,,5.24923296917851,0.480419877825774,,,1,1,Inf,1.55418145658736,,2,0,1,0.507896970889768,0.0439437671354698,2.38252090070281,0.137870063051101,0.0523378335931683,,0.270315835939258,0,-0.731666666666667,-0.31,-1.13,0.376479304433413,-0.0338935785903336,1.97879232451424,4.39,21.1997,0,0.311666666666667,0.69,0.06,0.308636787610723,0.342903338540632,1.17966737111873,1.87,4.8945,0,1.44,3.31,0.13,1.49520567147132,0.399920830570131,5.44495487874025,8.64,108.0592,0,2.48333333333333,1,4.5,0.704698517097915,3.49808519050065
2014-09-13T13:52:58Z,B!_-,CCONE,CCONE,CCONE,0.670050418833618,,,,,,,0.714285714285714,1,0.00282266068521974,5,7.61111111111109e-05,1.49417513828931,0,1,-0.875,0,0.33267588644327,3,2,0.280661659907535,0.138058206001627,,,,,,0.860486728051568,0,0,0,,0,,,,0.628039360282808,0.699306799365881,0.234760890408567,0.157985608669372,2,3,0.34484048629173,0.141136261975597,,2.44,0,1,0.59215050617333,8.68570424900935e-07,0.302726501677969,-0.0235875223819976,0.206071893461441,,0.298645775588569,0,0.690010857763301,,,,,,,1,1,-0.0179153094462541,5,0.00184211111111111,1.25548232517875,0,1,0.025,-0.1,0.304448906370094,3,3,0.180196232016176,0.135281110393405,,,,,,0.894368195817165,0,0,0,,0,,,,1.86030712339162,0.91902295545988,0.258627019912643,0.515311563581733,3,2,0.211309093667207,0.146695073006712,,2.59,0,1,0.729954657980456,1.0247120714211e-06,0.387671360976294,-0.157540278639906,0.321492481899529,,0.310833897158322,0.3,0.466730867497347,,,,,,,0,0.571428571428571,-0.184863016390865,3,0.00301622222222222,1.73286795139986,0,3,-1.125,-0.1,0.727888791582709,3,3,0.189814561861061,0.174091719876469,,,,,,0.846953418248454,0,0,0,,0,,,,2.35729186707389,0.333454120109714,0.472520145815261,0.804155015462298,1,1,0.133531392624523,0.137062435083837,,1.65,0,1,0.730055668979798,7.421285009796e-07,0.426305280442694,0.0597623513342636,-0.0409468533661547,,0.421758295138104,0,-0.639,-0.44,-0.88,0.167295480446358,-0.241267153988403,1.61729082113197,6.39,42.0831,0,0.22,0.5,0,0.202319878739914,0.256036644813275,0.788343657693597,2.2,6.5852,0,-0.947,-0.69,-1.13,0.168130240521382,0.309784717606392,2.29593039695883,9.47,90.9505,0,1.806,1.5,2.01,0.923146792227542,1.43223601407031
