time,Activity,Accelerometer.X,Accelerometer.Y,Accelerometer.Z,ID,Ind_ID
2014-09-13 10:28:43,CLIP,-0.25,-0.25,0.13,G!_Bk!,G!_Bk!
2014-09-13 10:28:44,notMoving,-0.31,-0.69,0,G!_Bk!,G!_Bk!
2014-09-13 10:28:45,notMoving,-0.13,-0.19,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:28:45,notMoving,-0.13,-0.19,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:28:46,notMoving,0,-0.19,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:46,notMoving,0,-0.19,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:47,notMoving,0,-0.25,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:28:47,notMoving,0,-0.25,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:28:48,notMoving,0.06,-0.25,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:28:48,notMoving,0.06,-0.25,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:28:49,notMoving,0.06,-0.31,-0.94,G!_Bk!,G!_Bk!
2014-09-13 10:28:50,CLIP,0.06,-0.38,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:51,CLIP,0.06,-0.44,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:51,CLIP,0.06,-0.44,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:52,CLIP,0,-0.5,-0.94,G!_Bk!,G!_Bk!
2014-09-13 10:28:52,CLIP,0,-0.5,-0.94,G!_Bk!,G!_Bk!
2014-09-13 10:28:53,CLIP,0,-1.19,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:28:53,CLIP,0,-1.19,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:28:54,CLIP,-0.5,-0.25,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:28:54,CLIP,-0.5,-0.25,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:28:55,CLIP,-0.25,-0.31,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:56,notMoving,-1.94,0.38,4.19,G!_Bk!,G!_Bk!
2014-09-13 10:28:57,notMoving,-0.69,0.31,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:28:57,notMoving,-0.69,0.31,-0.38,G!_Bk!,G!_Bk!
